geoid,geoid20,year,denom_all_households,eli_count,eli_pct,vli_count,vli_pct,li_count,li_pct,mi_count,mi_pct,abmi_count,abmi_pct
1400000US06037481901,6037481901,2013,2010.0,215.0,10.696517,475.0,23.631842,820.0,40.796021,975.0,48.507462,1035.0,51.492538
1400000US06037481603,6037481603,2017,1180.0,260.0,22.033897,465.0,39.40678,710.0,60.169491,790.0,66.94915,390.0,33.050846
1400000US06037226701,6037226701,2019,730.0,305.0,41.780823,473.0,64.794518,639.0,87.534248,656.0,89.863014,74.0,10.136987
1400000US06037231220,6037231220,2015,1190.0,640.0,53.781513,870.0,73.109245,1050.0,88.235291,1140.0,95.798317,50.0,4.2016807
1400000US06037222001,6037222001,2016,900.0,210.0,23.333334,395.0,43.888889,580.0,64.444443,645.0,71.666664,255.0,28.333334
1400000US06037293301,6037293301,2015,1034.0,145.0,14.023211,244.0,23.597679,459.0,44.390717,534.0,51.6441,500.0,48.3559
1400000US06037980036,6037980036,2013,2219.0,265.0,11.942316,781.0,35.196033,1401.0,63.136547,1643.0,74.042358,575.0,25.912573
1400000US06037237800,6037237800,2019,1405.0,405.0,28.825623,680.0,48.398575,1070.0,76.156586,1190.0,84.69751,215.0,15.302491
1400000US06037121802,6037121802,2016,719.0,110.0,15.299026,220.0,30.598053,460.0,63.977745,534.0,74.269821,185.0,25.730181
1400000US06037555105,6037555105,2018,1454.0,393.0,27.028885,575.0,39.546082,860.0,59.147179,991.0,68.156807,462.0,31.774416
1400000US06037240402,6037240402,2014,1065.0,440.0,41.314552,780.0,73.239433,900.0,84.507042,980.0,92.018776,85.0,7.9812207
1400000US06037267403,6037267403,2015,1689.0,320.0,18.946121,559.0,33.096508,726.0,42.984013,817.0,48.371819,873.0,51.687389
1400000US06037575300,6037575300,2016,1350.0,535.0,39.629631,920.0,68.148148,1175.0,87.037041,1240.0,91.851852,110.0,8.1481485
1400000US06037406702,6037406702,2016,1640.0,275.0,16.768293,515.0,31.402439,830.0,50.609756,1025.0,62.5,615.0,37.5
